verdict	term	reading	pos	docs	total	example
	役分	ヤクブン	名詞	30	38	なお、株主総会の決議により、取締役の「基本報酬」と「賞与」の合計額は年額12億円以内（うち社外取締役分は年額1億5千万円以内）とする。
	祖業	ソギョウ	名詞	9	9	当グループ事業の祖業は、2000年１月の株式会社ネットプロテクションズ（旧ネットプロテクションズ）の設立を端緒としています。
	往査	オウサ	名詞	56	87	なお、社外監査役は海外５か国12社の往査に参加しました。
	働き甲斐	ハタラキガイ	名詞	58	111	・活力に満ちた生き甲斐・働き甲斐のある職場をつくる。
	余資	ヨシ	名詞	72	93	余資運用については余資運用規程を遵守しております。
	戻入	レイニュウ	名詞	61	131	のれんに関連する減損損失は戻入れていません。
	退店	タイテン	名詞	9	26	また、賃貸人側の事情による賃貸借契約の期限前解約により、計画外の退店を行う可能性があります。
	外書き	ソトガキ	名詞	83	150	２　（外書）は、賃借中のものであります。
	社費	シャヒ	名詞	38	76	３　セグメント利益（損失）の調整額は全社費用であります。
	共創	キョウソウ	名詞	35	66	2022年４月京都府京都市下京区に京都共創センターを開設。
	外数	ガイスウ	名詞	97	211	３．従業員数のは臨時従業員数で外数であります。
	通貫	ツウカン	名詞	13	25	当社グループ規模では一部の工程に特化する会社も多くありますが、当社グループでは全ての工程を一気通貫で受託することが可能です。
	深耕	シンコウ	名詞	19	26	このような環境のなかで当社グループは、国内外の市場における顧客への取引深耕に積極的に取組んでまいりました。
	末残	マツザン	名詞	59	68	３.担保の提供は、当社の借入に対して不動産の担保を差し入れているものであり、取引金額は借入債務の期末残　　　　高であります。
	洗い替え	アライガエ	名詞	35	42	２　当期減少額（その他）は洗替等による戻入額です。
	翌期	ヨクキ	名詞	29	41	当該取り組みは翌期以降の業績寄与を見込んでおります。
	減災	ゲンサイ	名詞	9	15	こうした製品がより広く普及することにより、地震が多い国・地域における防災・減災への貢献が期待されます。
	既発	キハツ	名詞	23	32	
	現任	ゲンニン	名詞	18	25	2006年６月生悦住　望(故人)が会長に、生悦住　歩が社長(現任)に就任。
	下押し	シタオシ	名詞	19	24	ただし、米国の通商政策がもたらす影響等が、我が国の景気を下押しするリスクとなっています。
	未成	ミセイ	名詞	12	27	ｂ　未成工事支出金個別法を採用しております。
	商材	ショウザイ	名詞	26	70	また、パートナー企業の満足度向上のためには商材の品質確保が必要になります。
	円貨	エンカ	名詞	76	212	これらに加え、円安効果による円貨換算額の増加も寄与いたしました。
	内書き	ウチガキ	名詞	55	66	２．（　）内書は、１年内償還予定の金額です。
	現預金	ゲンヨキン	名詞	9	9	なお、当連結会計年度末における有利子負債残高は138億6千7百万円、現預金残高は67億8千2百万円であります。
	金売り	カネウリ	名詞	25	40	
	人財	ジンザイ	名詞	43	587	高評価の人財には、株式の給付も行っております。
	未達	ミタツ	名詞	20	26	結果、当期の旅客数は前期を上回ることはできたものの、中国路線の動向の影響を受け、目標は未達となりました。
	期初	キショ	名詞	33	49	当連結会計年度の期初計画の達成状況は以下のとおりです。
	拡販	カクハン	名詞	31	70	肥効調節型肥料では、被膜の崩壊性を向上させた製品の拡販を進めています。
	社是	シャゼ	名詞	20	45	当社のこれまでの歩みには、社是『互譲協調』があります。
	下ぶれ	シタブレ	名詞	19	20	一方、中東情勢の緊迫化によるエネルギー価格の高騰が世界経済の下振れリスクとして懸念されております。
	検収	ケンシュウ	名詞	59	143	契約資産は、顧客の検収時に売上債権へ振替えられます。
	社業	シャギョウ	名詞	12	17	その上で、企業全体の求心力となり、社業の創造・発展に多大な貢献のある者に対し、類似他企業に見られる範囲で、貢献に応じ水準が高まる設計とする。
	洗い出し	アライダシ	名詞	16	21	各事業に係るリスクは、各事業会社においてリスクの洗い出しとモニタリングを行っています。
	掲記	ケイキ	名詞	102	274	※１．関係会社に対する資産及び負債には区分掲記されたもののほか次のものがあります。
	増配	ゾウハイ	名詞	17	23	普通配当につきましては、5期連続での増配となります。
	兼職	ケンショク	名詞	16	38	当社と兼職先との間には特別な関係はありません。
	売電	バイデン	名詞	11	34	また、太陽光発電による売電を行っております。
	前受け	マエウケ	名詞	15	30	前受運賃は収益の認識に伴い取り崩されます。
	付議	フギ	名詞	84	150	ただし、重要事項については当社の取締役会に付議する。
	業容	ギョウヨウ	名詞	34	73	1980年８月業容拡大の為、インテリアタイル株式会社を吸収合併。
	科技	カギ	名詞	11	48	2016年１月中国に菊水建材科技（常熟）有限公司を設立する。
	争訟	ソウショウ	名詞	46	47	当該保険契約により被保険者の争訟費用等の損害を填補することとしております。
	先出	センシュツ	名詞	21	35	(ハ)棚卸資産　　商品　先入先出法による原価法によっております。
	便法	ベンポウ	名詞	64	71	なお、実務上の便法を適用し、当初に予想される契約期間が１年以内の契約について、注記の対象に含めておりません。
